"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.298176354E1,6.499880246E1,2.559536414E1,3.002286523E1,1.527143598E0,3.235740967E2,4.699999809E0,0.000000000E0
4.397393697E1,6.499881410E1,2.559534413E1,3.008116356E1,1.524643064E0,3.289801636E2,4.699999809E0,0.000000000E0
4.498525781E1,6.499882523E1,2.559532217E1,2.982664886E1,1.515716910E0,3.255894775E2,4.699999809E0,0.000000000E0
4.597149583E1,6.499883640E1,2.559529943E1,2.999294498E1,1.520985603E0,3.235759888E2,4.699999809E0,0.000000000E0
4.698168124E1,6.499884861E1,2.559527988E1,3.003552724E1,1.529846430E0,3.303617859E2,4.699999809E0,0.000000000E0
4.798697499E1,6.499886070E1,2.559525983E1,3.043320818E1,1.527014852E0,3.273487244E2,4.699999809E0,0.000000000E0
4.897907030E1,6.499887277E1,2.559524015E1,3.085477288E1,1.523265481E0,3.257728882E2,4.699999809E0,0.000000000E0
4.998307135E1,6.499888490E1,2.559522083E1,3.092853637E1,1.524533749E0,3.255319824E2,4.699999809E0,0.000000000E0
5.098426510E1,6.499889677E1,2.559520110E1,3.100874269E1,1.525648952E0,3.233715515E2,4.699999809E0,0.000000000E0
5.198650260E1,6.499890875E1,2.559518273E1,3.119920132E1,1.519482851E0,3.248679810E2,4.699999809E0,0.000000000E0
5.301577708E1,6.499892042E1,2.559516488E1,3.110064669E1,1.513292313E0,3.244611816E2,4.699999809E0,0.000000000E0
5.397551874E1,6.499893218E1,2.559514901E1,3.091723777E1,1.503466249E0,3.285432434E2,4.699999809E0,0.000000000E0
5.498570520E1,6.499894317E1,2.559513233E1,3.053248468E1,1.496014953E0,3.267528992E2,4.699999809E0,0.000000000E0
5.598874426E1,6.499895242E1,2.559511778E1,3.024485948E1,1.272238493E0,3.267265320E2,4.699999809E0,0.000000000E0
5.697391301E1,6.499896057E1,2.559510393E1,3.026633045E1,1.111213446E0,3.241415405E2,4.699999809E0,0.000000000E0
