"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.589330673E0,4.594999850E-1,-8.558999896E-1,1.347499967E0
1.599330673E0,2.705000043E-1,-4.879999757E-1,8.685999513E-1
1.609330673E0,2.440999895E-1,-7.899999619E-2,3.443999887E-1
1.619330673E0,3.319000006E-1,1.699000001E-1,-4.039999843E-2
1.629330673E0,4.014999866E-1,2.443999946E-1,-1.890999973E-1
1.639330673E0,3.276000023E-1,1.952999979E-1,-1.900999993E-1
1.649330673E0,1.286000013E-1,8.399999887E-2,-1.026999950E-1
1.659330673E0,-1.317999959E-1,-6.790000200E-2,2.400000021E-2
1.669330673E0,-2.669000030E-1,-2.796999812E-1,1.314000040E-1
1.679330673E0,-2.757999897E-1,-4.540999830E-1,7.229999453E-2
1.689330673E0,-1.947999895E-1,-5.214999914E-1,3.700000001E-3
1.699330673E0,-1.792999953E-1,-4.792999923E-1,6.260000169E-2
1.709393173E0,-1.788999885E-1,-4.429000020E-1,2.190999985E-1
1.719330673E0,-1.527999938E-1,-4.509999752E-1,2.083999962E-1
1.729330673E0,-9.979999810E-2,-5.424999595E-1,6.969999522E-2
1.739330673E0,-8.699999750E-2,-5.202000141E-1,-1.577999890E-1
1.749330673E0,-4.409999773E-2,-4.786999822E-1,-2.884999812E-1
1.759330673E0,3.109999932E-2,-4.629999995E-1,-2.626999915E-1
1.769330673E0,2.391999960E-1,-4.684999883E-1,-2.378999889E-1
1.779330673E0,3.197000027E-1,-6.083999872E-1,1.395999938E-1
1.789330673E0,2.750999928E-1,-7.486000061E-1,1.938999891E-1
1.799330673E0,1.580999941E-1,-8.017999530E-1,1.215000004E-1
1.809330673E0,2.076999992E-1,-6.401999593E-1,-1.754999906E-1
1.819330673E0,3.061999977E-1,-2.724999785E-1,-5.304999948E-1
1.829330673E0,4.114999771E-1,7.729999721E-2,-8.945999742E-1
1.839330673E0,4.729999900E-1,1.062999964E-1,-1.219099998E0
1.849330673E0,3.404999971E-1,-2.906999886E-1,-1.366999984E0
1.859330673E0,5.200000014E-3,-8.263999820E-1,-1.113099933E0
1.869330673E0,-3.046000004E-1,-1.336699963E0,-8.292999864E-1
1.879330673E0,-5.464999676E-1,-1.685499907E0,-7.400000095E-1
1.889330673E0,-5.669999719E-1,-1.846099973E0,-1.167599916E0
1.899330673E0,-4.185999930E-1,-1.619499922E0,-1.768799901E0
1.909330673E0,2.987999916E-1,-8.677999973E-1,-1.828999996E0
1.919330673E0,9.368000031E-1,-4.569999874E-2,-1.399999976E0
1.929330673E0,1.296899915E0,6.627999544E-1,-1.111500025E0
1.939330673E0,1.188599944E0,9.896999598E-1,-4.368000031E-1
1.949330673E0,7.562999725E-1,8.165000081E-1,5.364999771E-1
1.959330673E0,-6.929999590E-2,2.906000018E-1,1.389799953E0
1.969330673E0,-8.870999813E-1,-3.689000010E-1,2.565799952E0
1.979332236E0,-1.490099907E0,-9.052999616E-1,2.852299929E0
1.989330673E0,-1.524199963E0,-1.078599930E0,1.806199908E0
1.999330673E0,-6.764000058E-1,-8.122999668E-1,5.478000045E-1
2.009330673E0,5.634999871E-1,-4.779999852E-1,-1.598999947E-1
2.019330673E0,1.923999906E0,1.305000037E-1,-4.249999821E-1
2.029330673E0,2.441200018E0,7.310000062E-1,-5.521000028E-1
2.039330673E0,2.399099827E0,1.167199969E0,-5.999000072E-1
2.049330673E0,2.102099895E0,1.440699935E0,-4.310999811E-1
2.059330673E0,1.602100015E0,1.468699932E0,-1.736999899E-1
2.069330673E0,9.101999998E-1,1.245100021E0,4.600000102E-3
2.079330673E0,9.939999878E-2,8.628999591E-1,-1.419000030E-1
2.089330673E0,-6.563000083E-1,4.271999896E-1,-5.745999813E-1
2.099330673E0,-9.890999794E-1,-2.600000007E-3,-8.723999858E-1
2.109330673E0,-1.107699990E0,-2.942999899E-1,-8.508999944E-1
2.119330673E0,-1.192399979E0,-3.797000051E-1,-7.917999625E-1
2.129330673E0,-1.901299953E0,-4.907999933E-1,9.707999825E-1
2.139330673E0,-1.929899931E0,-2.949000001E-1,8.509999514E-1
2.149330673E0,-9.706999660E-1,9.899999946E-2,4.582999945E-1
2.159330673E0,-8.169999719E-1,5.781999826E-1,7.637000084E-1
2.169330673E0,-7.752999663E-1,9.001999497E-1,9.731999636E-1
2.179330673E0,-8.290999532E-1,9.677000046E-1,9.005999565E-1
2.189330673E0,-1.023000002E0,7.149999738E-1,6.147999763E-1
2.199330673E0,-1.278900027E0,2.047999948E-1,3.804999888E-1
2.209330673E0,-1.435999990E0,-3.832999766E-1,2.462999970E-1
2.219330673E0,-1.367999911E0,-8.932999969E-1,2.701999843E-1
2.229330673E0,-1.213299990E0,-1.137499928E0,2.750999928E-1
2.239330673E0,-1.065199971E0,-1.137399912E0,3.863999844E-1
2.249330673E0,-8.965999484E-1,-9.495999813E-1,5.950999856E-1
2.259330673E0,-6.592000127E-1,-6.222999692E-1,7.637000084E-1
2.269330673E0,-4.583999813E-1,-2.452999949E-1,8.822000027E-1
2.279330673E0,-3.588999808E-1,2.479999885E-2,8.531000018E-1
2.289330673E0,-2.969999909E-1,2.203999907E-1,7.944999933E-1
2.299330673E0,-2.612999976E-1,3.736999929E-1,7.458999753E-1
2.309330673E0,-2.593999803E-1,4.083999991E-1,6.782000065E-1
2.319330673E0,-3.190000057E-1,3.161999881E-1,5.817999840E-1
2.329330673E0,-3.104999959E-1,2.647999823E-1,4.962999821E-1
2.339330673E0,-2.848999798E-1,2.347999960E-1,4.116999805E-1
2.349330673E0,-2.559999824E-1,1.872999966E-1,4.748999774E-1
2.359330673E0,-2.953000069E-1,1.634999961E-1,5.759999752E-1
2.369330673E0,-1.350999922E-1,2.439000010E-1,5.780999660E-1
2.379330673E0,1.351999938E-1,4.052999914E-1,4.416999817E-1
2.389330673E0,4.390999973E-1,5.706999898E-1,2.062999904E-1
2.399330673E0,5.723999739E-1,7.335000038E-1,9.769999981E-2
2.409330673E0,6.531999707E-1,8.960999846E-1,6.719999760E-2
2.419330673E0,7.202999592E-1,9.904999733E-1,9.519999474E-2
2.429330673E0,7.258999944E-1,9.684000015E-1,2.111999989E-1
2.439330673E0,5.123999715E-1,8.100000024E-1,2.974999845E-1
2.449330673E0,2.064999938E-1,6.322000027E-1,2.755999863E-1
2.459330673E0,-2.539999969E-2,4.729999900E-1,2.432999909E-1
2.469330673E0,-2.460999936E-1,3.409999907E-1,3.278999925E-1
2.479343173E0,-4.411000013E-1,1.864999980E-1,5.101999640E-1
2.489330673E0,-4.509999752E-1,-4.050000012E-2,6.039999723E-1
2.499330673E0,-3.869999945E-1,-2.126999944E-1,6.678999662E-1
2.509330673E0,-2.805999815E-1,-2.890999913E-1,7.027999759E-1
2.519330673E0,-1.384999901E-1,-2.982999980E-1,6.696999669E-1
2.529330673E0,5.049999803E-2,-2.010999918E-1,4.998999834E-1
2.539330673E0,1.985999942E-1,-6.560000032E-2,1.542999893E-1
2.549330673E0,3.558000028E-1,2.139999904E-2,-2.492999882E-1
2.559330673E0,3.737999797E-1,1.120999977E-1,-4.561999738E-1
2.569330673E0,2.973999977E-1,1.978999972E-1,-4.271000028E-1
2.579330673E0,2.201000005E-1,2.287999988E-1,-2.705000043E-1
2.589330673E0,1.096000001E-1,2.206999958E-1,-1.336999983E-1
2.599330673E0,1.519999932E-2,1.345999986E-1,-4.619999975E-2
2.609330673E0,-8.329999447E-2,-2.499999944E-3,4.089999944E-2
2.619330673E0,-2.325999886E-1,-2.190999985E-1,1.083000004E-1
2.629330673E0,-3.422999978E-1,-4.165000021E-1,1.463000029E-1
2.639330673E0,-4.417999983E-1,-5.070999861E-1,1.156999990E-1
2.649330673E0,-5.428999662E-1,-5.802999735E-1,4.569999874E-2
2.659330673E0,-5.486999750E-1,-5.376999974E-1,6.379999965E-2
2.669330673E0,-4.681999981E-1,-3.985999823E-1,1.601999998E-1
2.679330673E0,-1.814000010E-1,-1.721999943E-1,1.586000025E-1
2.689330673E0,1.184000000E-1,2.439999953E-2,6.899999827E-2
2.699330673E0,3.746999800E-1,1.833999902E-1,-2.989999950E-2
2.709330673E0,5.004000068E-1,2.164999992E-1,-1.676999927E-1
2.719330673E0,5.144999623E-1,1.773999929E-1,-2.754999995E-1
2.729330673E0,3.964000046E-1,8.139999956E-2,-3.437999785E-1
2.739330673E0,1.810999960E-1,-2.219999954E-2,-2.845000029E-1
2.749330673E0,2.239999920E-2,-2.134999931E-1,-1.664000005E-1
2.759330673E0,-2.168999910E-1,-4.249999821E-1,-1.072999984E-1
2.769330673E0,-3.680999875E-1,-5.583999753E-1,-4.829999804E-2
2.779330673E0,-4.114999771E-1,-5.454999804E-1,-8.799999952E-3
2.789330673E0,-3.479000032E-1,-5.144999623E-1,-8.700000122E-3
2.799330673E0,-1.974999905E-1,-4.269999862E-1,-1.360999942E-1
2.809330673E0,-1.950000040E-2,-3.018999994E-1,-2.636999786E-1
2.819330673E0,1.269000024E-1,-1.471000016E-1,-2.834999859E-1
2.829330673E0,2.122999877E-1,-3.089999966E-2,-1.465999931E-1
2.839330673E0,2.579999864E-1,6.009999663E-2,1.970000006E-2
2.849330673E0,2.542999983E-1,1.128999963E-1,1.860999912E-1
2.859330673E0,2.219000012E-1,9.779999405E-2,2.545000017E-1
2.869330673E0,9.319999814E-2,-2.489999868E-2,3.231000006E-1
2.879330673E0,-4.199999850E-3,-1.972000003E-1,2.935999930E-1
2.889330673E0,-1.299999952E-1,-3.217999935E-1,3.034999967E-1
2.899330673E0,-2.152999938E-1,-5.065999627E-1,3.721999824E-1
2.909330673E0,-2.096999884E-1,-6.146000028E-1,2.939999998E-1
2.919330673E0,-9.139999747E-2,-5.379999876E-1,-1.909999922E-2
2.929330673E0,1.394999921E-1,-3.537999988E-1,-3.025999963E-1
2.939330673E0,4.411000013E-1,-1.187999994E-1,-4.975999892E-1
2.949330673E0,6.854999661E-1,6.870000064E-2,-6.335999966E-1
2.959330673E0,8.269999623E-1,2.117999941E-1,-6.620999575E-1
2.969330673E0,8.604999781E-1,2.797999978E-1,-5.041999817E-1
2.979330673E0,7.401999831E-1,2.919999957E-1,-1.996999979E-1
2.989330673E0,6.060000062E-1,2.067999989E-1,5.539999902E-2
2.999330673E0,4.178999960E-1,1.169999968E-2,2.317999899E-1
3.009330673E0,2.177999914E-1,-2.054999918E-1,3.100000024E-1
3.019330673E0,1.009999961E-2,-3.556999862E-1,2.608000040E-1
3.029330673E0,-8.519999683E-2,-4.081999958E-1,1.530999988E-1
3.039330673E0,-1.194999963E-1,-4.122999907E-1,-2.290000021E-2
3.049330673E0,-1.061000004E-1,-3.190000057E-1,-1.697999984E-1
3.059330673E0,-2.779999934E-2,-1.668999940E-1,-1.501999944E-1
3.069330673E0,1.046999991E-1,-8.389999717E-2,-4.270000011E-2
3.079330673E0,2.256999910E-1,-1.950000040E-2,-4.309999943E-2
3.089330673E0,2.868999839E-1,-3.999999724E-3,-5.350000039E-2
3.099330673E0,2.902999818E-1,-1.649999991E-2,-3.429999948E-2
3.109330673E0,2.267999947E-1,-4.659999907E-2,-1.499999966E-2
3.119330673E0,1.551000029E-1,-1.143999994E-1,4.349999875E-2
3.129330673E0,2.479999885E-2,-1.909999996E-1,2.001999915E-1
3.139330673E0,-1.351999938E-1,-2.972999811E-1,3.176999986E-1
3.149330673E0,-2.361999899E-1,-3.853999972E-1,4.056999981E-1
3.159330673E0,-2.769999802E-1,-4.257999957E-1,4.055999815E-1
3.169330673E0,-2.364999950E-1,-3.989999890E-1,2.585999966E-1
3.179330673E0,-1.340999901E-1,-2.549000084E-1,1.607999951E-1
3.189330673E0,-1.090000011E-2,-6.199999899E-2,1.219999939E-1
3.199330673E0,1.686999947E-1,2.319999970E-2,1.123999953E-1
3.209330673E0,2.492999882E-1,4.800000042E-2,4.699999932E-3
3.219330673E0,2.795999944E-1,3.700000001E-3,-6.379999965E-2
3.229330673E0,2.203999907E-1,-4.010000080E-2,-6.379999965E-2
3.239330673E0,1.709999889E-1,-1.226999983E-1,-8.339999616E-2
3.249330673E0,6.300000101E-2,-1.851999909E-1,-1.030000001E-1
3.259330673E0,1.399999950E-2,-2.377999872E-1,-1.323999912E-1
3.269330673E0,3.359999880E-2,-2.114999890E-1,-1.617999971E-1
3.279330673E0,8.269999921E-2,-1.551000029E-1,-1.225999966E-1
